Name,CPU name,CPU cores,GPU,RAM,Storage,Motherboard Name,PSU,Fans,Heatsinks,USB/USB-C ports,HDMI ports,Ethernet ports,Display size,NIC,Optical Drive,Audio port,Keyboard,Mouse,Webcam,Wifi card,Bluetooth card,BIOS/UEFI,Carbon Footprint (kg)
ThinkPad C14 Gen 1 Chromebook,Core i3-1215,N/A,Intel UHD Graphics Integrated Shared Share CPU TDP DirectX,4GB,64GB,Intel SoC,45W,N/A,N/A,2,1,N/A,"14""","WLAN + Bluetooth® [1]
Intel Wi-Fi® 6E AX211, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6E,Bluetooth 5.1,ChromeOS,210
ThinkPad E14 Gen 4 AMD,N/A,N/A,AMD Radeon Graphics Integrated Shared Share CPU TDP DirectX,40GB,256GB,AMD SoC,N/A,N/A,N/A,1,1,1,"14""","WLAN + Bluetooth® **[1]
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Windows® 11 DG Windows 10 Pro 64 [1],391
ThinkPad E14 Gen 4 Intel,Core i3-1215,N/A,Intel UHD Graphics Integrated Shared Share CPU TDP DirectX,32GB,256GB,Intel SoC,65W,N/A,N/A,1,1,1,"14""","WLAN + Bluetooth® **[1]
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,N/A,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Ubuntu Linux [1],415
ThinkPad E14 Gen 5 AMD,N/A,N/A,AMD Radeon Graphics Integrated Shared Share CPU TDP DirectX,40GB,128GB,AMD SoC,65W,N/A,N/A,1,1,1,"14""","WLAN + Bluetooth® **
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Windows® 11 DG Windows 10 Pro 64 [1],N/A
ThinkPad E14 Gen 5 Intel,Core i3-1315,N/A,Intel UHD Graphics Integrated Shared Share CPU TDP DirectX,40GB,128GB,Intel SoC,65W,N/A,N/A,1,1,1,"14""","WLAN + Bluetooth® **
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Ubuntu Linux [1],N/A
ThinkPad E15 Gen 4 AMD,N/A,N/A,AMD Radeon Graphics Integrated Shared Share CPU TDP DirectX,40GB,256GB,AMD SoC,65W,N/A,N/A,1,1,1,"14""","WLAN + Bluetooth® **[1]
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Windows® 11 DG Windows 10 Pro 64 [1],457
ThinkPad E15 Gen 4 Intel,Core i3-1215,N/A,Intel UHD Graphics Integrated Shared Share CPU TDP DirectX,32GB,256GB,Intel SoC,65W,N/A,N/A,1,1,1,"15.6""","WLAN + Bluetooth® **[1]
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Ubuntu Linux [1],457
ThinkPad E16 Gen 1 AMD,N/A,N/A,AMD Radeon Graphics Integrated Shared Share CPU TDP DirectX,40GB,256GB,AMD SoC,65W,N/A,N/A,1,1,1,"16""","WLAN + Bluetooth® **
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Windows® 11 DG Windows 10 Pro 64 [1],N/A
ThinkPad E16 Gen 1 Intel,Core i3-1315,N/A,Intel UHD Graphics Integrated Shared Share CPU TDP DirectX,40GB,256GB,Intel SoC,65W,N/A,N/A,1,1,1,"16""","WLAN + Bluetooth® **
Wi-Fi® 6, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6,Bluetooth 5.1,Ubuntu Linux [1],N/A
ThinkPad L13 Gen 3 AMD,N/A,N/A,AMD Radeon Graphics Integrated Shared Share CPU TDP DirectX,8GB,256GB,AMD SoC,45W,N/A,N/A,1,1,N/A,"13.3""","WLAN + Bluetooth® **[2][3]
Qualcomm® Wi-Fi® 6E NFA725A, 802.11ax 2x2 Wi-Fi",N/A,1,Yes,touchpad,FHD 1080p,Wi-Fi 6E,Bluetooth 5.1,Ubuntu Linux [1],323
